Idx;t;x_pos;x_vel;y_pos;y_vel;z_pos;z_vel;laser_pwr;p_chamb;gassFlow;glassSenseVal;glassLedPwr
124;2023-08-02-07:34:59.218;121.52570;0.00000;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2320;28
125;2023-08-02-07:34:59.228;121.52570;0.00200;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2324;28
126;2023-08-02-07:34:59.238;121.52570;0.00000;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2328;28
127;2023-08-02-07:34:59.248;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2320;28
128;2023-08-02-07:34:59.258;121.52570;0.00400;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2320;28
129;2023-08-02-07:34:59.268;121.52570;0.00400;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2320;28
130;2023-08-02-07:34:59.278;121.52570;0.00200;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2319;28
131;2023-08-02-07:34:59.288;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2320;28
132;2023-08-02-07:34:59.298;121.52570;0.00300;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2322;28
133;2023-08-02-07:34:59.308;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2322;28
134;2023-08-02-07:34:59.318;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2322;28
135;2023-08-02-07:34:59.328;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2319;28
136;2023-08-02-07:34:59.338;121.52570;0.00200;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2317;28
137;2023-08-02-07:34:59.348;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2322;28
138;2023-08-02-07:34:59.358;121.52570;0.00300;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2326;28
139;2023-08-02-07:34:59.368;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2319;28
140;2023-08-02-07:34:59.378;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2321;28
141;2023-08-02-07:34:59.388;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2319;28
142;2023-08-02-07:34:59.398;121.52570;0.00200;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2324;28
143;2023-08-02-07:34:59.408;121.52570;0.00300;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2322;28
144;2023-08-02-07:34:59.418;121.52570;0.00000;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2319;28
145;2023-08-02-07:34:59.428;121.52570;0.00000;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2320;28
146;2023-08-02-07:34:59.438;121.52570;0.00200;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2320;28
147;2023-08-02-07:34:59.448;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2321;28
148;2023-08-02-07:34:59.458;121.52570;0.00300;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2321;28
149;2023-08-02-07:34:59.468;121.52570;0.00300;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2320;28
150;2023-08-02-07:34:59.478;121.52570;0.00200;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2320;28
151;2023-08-02-07:34:59.488;121.52570;0.00200;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2317;28
152;2023-08-02-07:34:59.498;121.52570;0.00000;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2322;28
153;2023-08-02-07:34:59.508;121.52570;0.00300;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2326;28
154;2023-08-02-07:34:59.518;121.52570;0.00300;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2324;28
155;2023-08-02-07:34:59.528;121.52570;0.00000;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2328;28
156;2023-08-02-07:34:59.538;121.52570;0.00000;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2322;28
157;2023-08-02-07:34:59.548;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2324;28
158;2023-08-02-07:34:59.558;121.52570;0.00000;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2317;28
159;2023-08-02-07:34:59.568;121.52570;0.00200;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2320;28
160;2023-08-02-07:34:59.578;121.52570;0.00000;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2324;28
161;2023-08-02-07:34:59.588;121.52570;0.00000;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2319;28
